Institute,Keywords,Project,Geographic Reach,Funding Amount,3 year savings,Summary,Category,Stage,Model,url,Unique ID
Maimonides Medical Center,"Health Care Innovation Awards, HCIA, New York, NY, mental illness, mental health, HIT, hospitalizations, care coordination,Maimonides Medical Center, CMS Region 2",Brooklyn Care Coordination Consortium,New York,"14,842,826.00","41,759,040.00","Maimonides Medical Center of Brooklyn, New York, is pioneering improvements in care for adults with serious mental illness who live in southwest Brooklyn.  In partnership with a broad array of medical, mental health, and social service organizations, insurers, and a labor union, Maimonides is: 1) providing enrolled patients with a core multi-disciplinary care team; 2) enabling medical and mental health providers to communicate with each other and monitor patients through advanced health information technology tools; 3) training a workforce of care managers and care navigators; 4) implementing uniform care standards; and 5) enhancing coordination of care through use of a web-based, electronic care plan. Maimonides expects this approach to reduce psychiatric and medical hospital admissions and reduce the total cost of care for the population, while creating approximately 50 new jobs, focused primarily in care management roles.  At the same time, Maimonides is working to transition the reimbursement model for this population from “fee for service” to an integrated “total cost of care” through new, innovative financial arrangements with payers that build sustainability of the program beyond the three-year period of the Innovation Award. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Maimonides-Medical-Center.html,10
North Carolina Community Networks,"Health Care Innovation Awards, HCIA, North Carolina, NC, care coordination, children, pediatrics, care managers, primary care, Medicaid, CHIP, ER, hospitalizations, North Carolina Community Networks, CMS Region 4","Building a statewide child health accountable care collaborative: the North Carolina strategy for improving health, improving quality, reducing costs, and enhancing the workforce",North Carolina,"9,343,670.00","24,089,682.00","Community Care of North Carolina (CCNC) began a three year program in August 2012 called the Child Health Accountable Care Collaborative (CHACC) to improve the quality and cost-effectiveness of care associated with children who have complex, chronic illnesses. CCNC comprises fourteen local networks dispersed throughout the state of North Carolina. A fundamental component of this program is the use of an embedded Specialty Care Manager (SCM) whose primary role is to coordinate care between the pediatric subspecialist and the primary care physician (PCP). Theses SCMs are embedded in all five Academic Medical Centers (Carolinas Medical Center, Duke University, Vidant Medical Center, University of North Carolina, and Wake Forest Baptist Medical Center) as well as seven tertiary Medical Centers (Cape Fear Valley Medical Center, CMC Northeast, Mission Hospital, Moses Cone, New Hanover Regional Medical Center, Presbyterian Medical Center and Wake Med). The first SCMs began seeing patients in January 2013 after orientation and initial training.  Patient Coordinators are also embedded, in collaboration with the SCMs, in medical centers with high volumes of children to assist the SCMs. A Patient Treatment Plan (PTP) was introduced to facilitate collaboration between pediatric subspecialists and PCPs. This PTP is updated by the SCMs during subspecialist visits or any hospitalization to ensure the PCP has the most current information needed to manage the child in a medical home environment. The CHACC Gastroenterology workgroup has also developed Co-Management Guidelines for Pediatric Constipation and GERD, which have been widely disseminated to the PCP group as well as residency programs throughout the state.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/North-Carolina-Community-Networks.html,11
Johns Hopkins School of Nursing,"Health Care Innovation Awards, HCIA, Maryland, MD, Medicare, Medicaid, care management, home care, medication adherence, occupational therapists, nurses, hospitalizations, Johns Hopkins School of Nursing, CMS Region 3",CAPABLE for frail dually eligible older adults: achieving the triple aim by improving functional ability at home,Maryland,"4,093,356.00","6,800,000.00","The Johns Hopkins School of Nursing received an award for a Medicare/Medicaid dual eligibles program (Community Aging in Place, Advancing Better Living for Elders –“CAPABLE”) that uses a care management team to improve the everyday functioning of complex, frail patients in their own homes. The program will reduce difficulty with activities of daily living and improve medication management, mobility, and health-related quality of life, based on an individualized package of interventions including home visits from occupational therapists and nurses and other services. CAPABLE will reduce nursing home admissions and hospitalizations and improve quality of life for these beneficiaries of Medicare and Medicaid. Over a three-year period, the John Hopkins School of Nursing will retrain an estimated eight occupational therapists and registered nurses and as well as engage other services.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Johns-Hopkins-School-Of-Nursing.html,12
State of Rhode Island,"State Innovation Models Initiative: Model Design Awards, Rhode Island, RI, patient-centered medical home, payment system, delivery system, data, outcome measures, CMS Region 1",One of sixteen states developing models for multi-payer payment and health care delivery system transformation.,Rhode Island,"1,631,042.00",,,Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Participants Announced,State Innovation Models Initiative: Model Design Awards Round One,http://innovation.cms.gov/initiatives/participant/State-Innovations-Model-Design/Rhode-Island.html,83
Mary's Center for Maternal Child Care,"Health Care Innovation Awards, HCIA, District of Columbia, DC, ER, tele-health, patient centered medical homes, care management, self management, diabetes, hypertension, asthma, mental illness, care managers, Mary's Center for Maternal Child Care, CMS Region 3",Capital Clinical Integrated Network (CCIN),District of Columbia,"14,991,005.00","17,712,000.00","Mary’s Center for Maternal Child Care in Washington, D.C. received an award to implement and test an integrated clinical network to improve care for high-utilizing chronically ill Medicaid recipients in the D.C. area, including those who rely on emergency room visits for primary health care. The project will use care teams and telemedicine to communicate with these patients, develop care plans for them, and personally manage their care as they are gradually transitioned into patient-centered medical homes. The result will be lower cost from reduced dependence on crisis care and ER visits and better health care for people with controllable chronic conditions such as diabetes, hypertension, asthma, and co-occurring mental illness. Over a three-year period, Mary’s Center for Maternal Child Care will hire and train 42 health care workers to serve as care managers and community-based care coordinators.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Mary-Center-For-Maternal-Child-Care.html,13
California Long-Term Care Education Center,"Health Care Innovation Awards, HCIA, California, CA, personal care attendants, Medicaid, Medicare, hospital admissions, length of stay, nursing home, care team integration, navigator, care aide, California Long-Term Care Education Center, CMS Region 9",Care team integration of the home-based workforce,California,"11,831,445.00","24,957,836.00","The California Long-Term Care Education Center, in partnership with SEIU United Long Term Care Workers, Shirley Ware Education Center, SEIU United Healthcare Workers, L.A. Care Health Plan, Contra Costa Health Plan in conjunction with Contra Costa Employment and Human Services Department, SynerMed, St. John’s Well Child and Family Center, Care 1st Health Plan, and the University of California, San Francisco Center for Health Professions, is piloting an intervention project to integrate In-Home Supportive Services (IHSS) providers into the health care system. The project, titled Care Team Integration of the Home-Based Workforce, serves beneficiaries of California’s Medicaid personal care services program (known as IHSS). All beneficiaries are disabled and 85 percent are Medicare-Medicaid enrollees. Our project recognizes the unique position of personal home care aides (PHCAs) with respect to some of the sickest and most costly Medicare and Medicaid enrollees. In most cases, PHCAs are an untapped resource into the health care system. The program focuses on developing the IHSS workforce by training IHSS providers (or PHCAs) in core competencies that will enable them to serve as agents of change and assume new roles with respect to caring for their IHSS consumer. These core competencies include being health monitors, coaches, communicators, navigators, and care aides. The goal is to reduce ER visits by 23 percent and hospital admissions from the ER by 23 percent over three years. In addition, the project hopes to see a 10 percent reduction in the average length of stay in nursing homes over the same time period. Over a three-year period, the program will train an estimated 6,000 IHSS providers.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/California-Long-Term-Care-Education-Center.html,15
State of Maine,"State Innovation Models Initiative: Model Testing Awards, Maine, ME, MaineCare, Medicare, Medicaid, CHIP, multi-payer Accountable Care Organizations (ACOs), performance-based payment, primary care, behavioral health, long-term care, workforce models, public payers, private payers, patient-centered medical home, health care infrastructure, public reporting, purchaser-led payment reform, shared savings, CMS Region 1","One of six states implementing, testing and evaluating a multi-payer health system transformation model that aims to deliver high quality care and improve health system performance for its residents. ",Maine,"33,068,334.00",,,Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Participants Announced,State Innovation Models Initiative: Model Testing Awards Round One,http://innovation.cms.gov/initiatives/participant/State-Innovations-Model-Testing/Maine.html,68
Vinfen Corporation,"Health Care Innovation Awards, HCIA, Massachusetts, MA, behavioral care, mental illness, primary care, nurses, telehealth, high-rick populations, chronic disease management, project manager, Vinfen Corporation, CMS Region 1",Community-based health homes for individuals with serious mental illness,Massachusetts,"2,942,962.00","3,792,020.00","Vinfen Corporation, in partnership with Bay Cove Human Services, North Suffolk Mental Health Association, Brookline Mental Health Center, Commonwealth Care Alliance, Robert Bosch Healthcare, and Dartmouth University received an award to integrate primary and behavioral health care for individuals with serious mental illness in the metropolitan Boston area. The project embeds Nurse Practitioners, backed by a primary care physician, into existing community based psychiatric rehabilitation and recovery teams, creating community based health homes that provide better care at lower cost for a population at risk for severe chronic disease. Embedded Health Outreach Workers teach participants to manage their behavioral and physical health effectively and more independently.  This care team uses telehealth technology to monitor participants’ signs and symptoms, prioritize care and deliver necessary interventions. As a result, the project aims to improve the health of participants, increase their access to primary and specialty health care and reduce the use of costly acute care services.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Vinfen-Corporation.html,17
The National Health Care for the Homeless Council,"Health Care Innovation Awards, HCIA, California, CA, Illinois, IL, Massachusetts, MA, Nebraska, NE, New Hampshire, NH, North Carolina, NC, Texas, TX, Ohio, OH, primacy care, ER, homeless, federally qualified health centers, care coordination, The National Health Care for the Homeless Council, CMS Region 9, CMS Region 5, CMS Region 1, CMS Region 7, CMS Region 4, CMS Region 6",Community health workers and HCH: a partnership to promote primary care,"California, Illinois, Massachusetts, Nebraska, New Hampshire, North Carolina, Ohio, Texas","2,681,877.00","1,500,000.00","The National Health Care for the Homeless Council is working with  twelve communities across various regions in the U.S. to reduce the number of emergency department visits and lack of primary care services for over 500 homeless individuals. The intervention integrates community health workers into Federally Qualified Health Centers to conduct outreach and case coordination for transitioning this population from the emergency department to a health center, thus reducing unnecessary emergency department visits and improving quality of care for this population. Over the three-year period, National Health Care for the Homeless Council’s program will train an estimated 101 health care workers, while creating an estimated 17 new jobs and saving approximately $1.0 million.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/The-National-Health-Care-For-The-Homeless-Council.html,18
"Innovative Oncology Business Solutions, Inc.","Health Care Innovation Awards, HCIA, Florida, FL, Georgia, GA, Maine, ME, New Mexico, NM, Ohio, OH, Texas, TX, oncology, medical home, Medicare, Medicaid, cancer, medication adherence, hospitalizations, ER, data analysts, patient care coordinators, registered nurses, licensed practical nurses, Innovative Oncology Business Solutions Inc., CMS Region 4, CMS Region 1, CMS Region 6, CMS Region 5",Community oncology medical homes (COME HOME),"Florida, Georgia, Maine, New Mexico, Ohio, Texas","19,757,338.00","33,514,877.00","Innovative Oncology Business Solutions, Inc., representing 7 community oncology practices across the United States received an award to implement and test a medical home model of care delivery for newly diagnosed or relapsed Medicare and Medicaid beneficiaries and commercially insured patients with one of the following seven cancer types: breast, lung, colon, pancreas, thyroid, melanoma and lymphoma. Cancer care is complicated, expensive, and often fragmented, leading to suboptimal outcomes, high cost, and patient dissatisfaction with care. Through comprehensive outpatient oncology care, including extended clinic hours, patient education, team care, medication management, and 24/7 practice access and inpatient care coordination, the medical home model will improve the timeliness and appropriateness of care, reduce unnecessary testing, and reduce avoidable emergency room visits and hospitalizations. Over a three-year period, Innovative Oncology Business Solutions will fill 115.6 new health care jobs, including positions for training specialists, data analysts, patient care coordinators, registered nurses, and licensed practical nurses, as well as for a finance manager and a compliance manager.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Innovative-Oncology-Business-Solutions-Inc.html,19
The Trustees of the University of Pennsylvania,"Health Care Innovation Awards, HCIA, New Jersey, NJ, Pennsylvania, PA, home-based care, cancer, Medicare, Medicaid, care coordination, hospitalizations, social workers, nurses, The Trustees of the University of Pennsylvania, CMS Region 2, CMS Region 3",Comprehensive longitudinal advanced illness management (CLAIM),Pennsylvania,"4,361,539.00","9,427,468.00","The Trustees of the University of Pennsylvania received an award to test a comprehensive set of home care services for patients with cancer who are receiving skilled home care and have substantial palliative care needs, but are not yet eligible for hospice care. The program serves five counties in the metropolitan Philadelphia area. Using care coordination and planning, the intervention provides in-home support, symptom management, crisis management, and emotional and spiritual support, enabling patients to remain in their homes and avoid unnecessary hospitalizations. Over a three-year period, the program will create an estimated 19 jobs for home health aides, social workers, nurses, and other clinical and administrative staff.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/CLAIM.html,23
University of Chicago,"Health Care Innovation Awards, HCIA, Illinois, IL, community-based, database, Medicare, Medicaid, CHIP, ER, adherence, high-risk, University of Chicago, CMS Region 5",CommunityRx system: linking patients and community-based service,Illinois,"5,862,027.00","6,400,000.00","The University of Chicago Urban Health Initiative in partnership with Chicago Health Information Technology Regional Extension Center (CHITREC) and the Alliance of Chicago Community Health Services received an award to develop the CommunityRx system, a continuously updated electronic database of community health resources that will be linked to the Electronic Health Records of local safety net providers. In real time, the system will process patient data and print out a “HealtheRx” for the patient, including referrals to community resources relevant to the patient’s condition and status. Aggregated data on patient diagnoses and referrals will be used to generate CommunityRx reports for community-based service providers to use to inform programming. The program will serve over 200,000 patients on the South Side of Chicago most of whom are Medicare, Medicaid and CHIP beneficiaries. The CommunityRx system will train and create new jobs for a combined total of over 200 individuals from this high-poverty, diverse community. This includes high school youth who will collect data on community health resources as part of the Urban Health Initiative’s MAPSCorps program. It will also include the creation of a new type of health worker, Community Health Information Experts (CHIEs), who will assist patients in using the HealtheRx and engage community-based service providers in meaningful use of the CommunityRx reports. The CommunityRx builds on infrastructure supported by ARRA funding from the National Institute on Aging. Anticipated outcomes include better population health, better use of appropriate services, increased compliance with care, and fewer avoidable visits to the emergency room with estimated savings of approximately $6.4 million.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/University-Of-Chicago.html,20
